NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Study Type,Study Documents
NCT04943289,Intrathecal Administration of DUOC-01 in Adults With Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT04943289,COMPLETED,"This study is a prospective Phase 1a open-label single- center trial. It will assess the safety of intrathecal administration of DUOC-01 cells to adults with Primary Progressive Multiple Sclerosis (PPMS). DUOC-01 is a population of cells expanded from donated human umbilical cord blood cells and is intended for treatment of neurodegenerative and demyelinating diseases. There will be approximately 20 participants enrolled. Exploratory objectives include changes in MS assessment scores, changes in brain MRI findings, and changes in blood biomarkers.",NO,Primary Progressive Multiple Sclerosis,BIOLOGICAL: DUOC-01,"Incidence of IT administration adverse events, Total number of adverse events associated with DUOC-01 infusion, 2 weeks post infusion|Incidence of adverse events attributed to the investigational product, Cumulative summary of adverse events related to DUOC-01, 1 year post infusion","Joanne Kurtzberg, MD",,INTERVENTIONAL,
NCT07067463,A Study of Orelabrutinib in Patients With Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT07067463,RECRUITING,"Orelabrutinib is a CNS-penetrable BTK inhibitor. This is a phase 3, randomized, double-blind, parallel-group, multicenter study to evaluate the efficacy and safety of orelabrutinib compared with placebo in patients with PPMS. Patients will be treated for approximately 30 to 60 months, with a minimum treatment duration of 12 months. The study will enroll approximately 705 subjects in a 2:1 randomization (orelabrutinib: placebo), globally.",NO,Multiple Sclerosis (MS) Primary Progressive,DRUG: Orelabrutinib|DRUG: Placebo,"Time to onset of composite confirmed disability progression (cCDP) , confirmed over at least 12 weeks (12-week cCDP), * Expanded disability status scale (EDSS) score increase ≥ 1.0 point from baseline when the baseline score is ≤ 5.0, or ≥ 0.5 points from baseline when the baseline score is \> 5.0, OR
* ≥ 20% increase in the Timed 25-Foot Walk Test (T25FWT), OR
* ≥ 20% increase in the 9-hole Peg Test (9HPT), Up to approximately 120 weeks","Zenas BioPharma (USA), LLC",,INTERVENTIONAL,
NCT06900192,A Study of Allogeneic Hematopoietic Cell Transplantation for Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT06900192,NOT_YET_RECRUITING,A study of alloHCT with Orca-Q for the treatment of primary progressive multiple sclerosis (MS).,NO,"Primary Progressive Multiple Sclerosis|Multiple Sclerosis|Multiple Sclerosis, Primary Progressive|Multiple Sclerosis, Secondary Progressive",BIOLOGICAL: Orca-Q|DRUG: myeloablative regimen,"Severe acute Graft-versus-Host-Disease-free survival, Alive without a history of moderate to severe aGVHD, 365 days after infusion",Stanford University,"Orca Biosystems, Inc.",INTERVENTIONAL,
NCT07477639,Treatment of Participants With Primary or Secondary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT07477639,RECRUITING,"The goal of this clinical trial is to treat male and female participants with two types of Multiple Sclerosis (MS) called primary progressive or secondary progressive MS.

The main questions the trial aims to answer are the following:

* Is TRX319 safe when administered to patients with progressive forms of MS?
* At what dose does TRX319 work the best to treat participants with primary and or secondary progressive MS?
* Is pre-conditioning (with Bendamustine) needed to allow TRX319 to better treat participants with primary and/or secondary progressive MS?

Participants will be asked to be on study for up 1 year and may receive up to 3 total administrations of TRX319. While on study, participants will have blood tests and other assessments (MRI scans and lumbar punctures) done to understand the safety of TRX319 and how it may benefit their multiple sclerosis.",NO,Primary Progressive Multiple Sclerosis|Secondary Progressive Multiple Sclerosis (SPMS)|Multiple Sclerosis|Multiple Sclerosis (MS) Primary Progressive|Multiple Sclerosis (MS) Secondary Progressive,BIOLOGICAL: TRX319|DRUG: Bendamustine,"To assess the safety and tolerability of TRX319 infusion in subjects with Primary Progressive or Secondary Progressive Multiple Sclerosis., * Number of participants with severity of treatment-emergent adverse events (TEAEs) and treatment-emergent serious adverse events (TESAEs)
* Rate of Adverse Events of Special Interest (AESIs) in participants
* The safety of TRX319 determined by negative Replication Competent Lentivirus (RCL) at approximately 3-months, 6-months, and 12-months, From baseline until 12 months post TRX319 Infusion","Tr1X, Inc.",,INTERVENTIONAL,
NCT02959658,Dimethyl Fumarate Treatment of Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT02959658,COMPLETED,"This study aims to evaluate safety and efficacy of dimethyl fumarate treatment in patients with primary progressive multiple sclerosis (PPMS).

Half of the patients will receive dimethyl fumarate and the other half will receive placebo.",NO,Primary Progressive Multiple Sclerosis,DRUG: Dimethyl fumarate|DRUG: Placebo,"Neurofilament light chain in the cerebrospinal fluid (CSF), CSF Neurofilament Light Chain (NFL) is measured twice over a course of 48 weeks. Patients will have a spinal tap performed at baseline and again at week 48., 0-48 weeks","Rigshospitalet, Denmark",Biogen,INTERVENTIONAL,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/58/NCT02959658/Prot_SAP_000.pdf"
NCT04458051,Primary Progressive Multiple Sclerosis (PPMS) Study of Bruton's Tyrosine Kinase (BTK) Inhibitor Tolebrutinib (SAR442168) (PERSEUS),https://clinicaltrials.gov/study/NCT04458051,COMPLETED,"Primary Objective:

To determine the efficacy of SAR442168 compared to placebo in delaying disability progression in primary progressive multiple sclerosis (PPMS)

Secondary Objectives:

To evaluate efficacy of SAR442168 compared to placebo on clinical endpoints, magnetic resonance imaging (MRI) lesions, cognitive performance, physical function, and quality of life To evaluate safety and tolerability of SAR442168 To evaluate population pharmacokinetics (PK) of SAR442168 in PPMS and its relationship to efficacy and safety To evaluate pharmacodynamics of SAR442168",NO,Primary Progressive Multiple Sclerosis,DRUG: Tolebrutinib|DRUG: Placebo,"6-month composite Confirmed Disability Progression (cCDP), Time to onset of 6-month cCDP defined as follows:

Increase over at least 6 months of ≥1.0 point from the baseline expanded disability status scale (EDSS) score when the baseline score is ≤5.5, or ≥0.5 points when the baseline EDSS score is \>5.5, or ≥20% from the baseline T25-FW, or ≥20% from the baseline 9-HPT, Up to approximately 60 months",Sanofi,,INTERVENTIONAL,
NCT01776060,Serial Collection of Primary Progressive Multiple Sclerosis Participants in the MURDOCK Study,https://clinicaltrials.gov/study/NCT01776060,COMPLETED,The goal of this study is to enroll 100 participants with Primary Progressive Multiple Sclerosis (PPMS) that have joined the MURDOCK Study Horizon 1.5 (Duke IRB Pro00011196) and the Multiple Sclerosis cohort (Duke IRB Pro00023791). All 100 participants will complete a biannual collection of a follow up questionnaire and blood/urine collection for a period of 5 years.,NO,Primary Progressive Multiple Sclerosis,OTHER: generation of 'omic markers of disease progression,"Generation of 'omic markers of disease progression, Biannual collection of samples from PPMS patients would not only permit the identification of 'omic profiles that can be compared and contrasted to those from RRMS patients in a parallel study, but it would also allow the generation of 'omic markers of disease progression. This progressive etiology would provide valuable insight into PPMS development and may also shed light on SPMS progression., 5 years",Duke University,,OBSERVATIONAL,
NCT04977622,Gray Matter Demyelination in Primary Progressive MS at 7T,https://clinicaltrials.gov/study/NCT04977622,UNKNOWN,"Progressive-onset multiple sclerosis (PPMS) occurs in about 15% of all people living with MS. PPMS remains understudied, and most disease-modifying treatments are ineffective for PPMS. To date, it is unknown why some people progress immediately from MS onset. The present study will assess the role of gray matter in PPMS by characterizing it with ultra-high field magnetic resonance imaging (MRI). While both white and gray matter are affected in relapsing MS, in PPMS tissue damage is primarily in the cortex. Cortical gray matter consists largely of neuronal cell bodies, which send electrical signals to create a functional response, such as arm or leg movement. While white matter damage slows the signal response, cortical damage inhibits the initial creation of electrical signals. There is a great need to research and develop scientific biomarkers to identify and monitor progression and repair in PPMS. In this project, 7 Tesla MRI is used to investigate the cortical gray matter in people with PPMS. 7 Tesla MRI is the safest and most detailed way to study the brain. Because the cortex is only a few millimeters thick, it has been traditionally difficult to investigate. At 7 Tesla, different layers and lesions within the cortex can be seen. In addition, this project will use myelin-sensitive MRI to determine the biological underpinnings of both cortical lesions and the 'normal appearing' cortical damage in PPMS. This will answer relevant questions about the brain's capacity for repair, the extent of demyelination and the occurrence of inherent cortical remyelination and provides an avenue for the development of novel clinical MR biomarkers tailored to PPMS.",NO,Primary Progressive Multiple Sclerosis,,"Distribution of cortical lesions in PPMS, Three different types of cortical lesions will be quantified across all cortical areas (Leuko- and Intracortical, Subpial). Their number in each area will be compared to existing data of RRMS and SPMS patients. Most patients are expected to show cortical lesions. It will be assessed which areas of the cortex are affected earliest in PPMS., Baseline|Volume of cortical lesions in PPMS, The volume of the different cortical lesion subtypes \[in cubic mm\] will be quantified and compared to lesion volumes in RRMS and SPMS patients. It will be assessed which type of damage, i.e. which of the three lesion types, drives motor and cognitive impairment using linear regression models. The investigators hypothesize that more extensive cortical demyelination will relate to lower/worse test scores., Baseline|Identify central veins and the presence of paramagnetic rims for cortical lesions, Susceptibility-sensitive imaging data will be pre-processed as described in literature and co-registered with other anatomical MRI data. It will be assessed whether the location of veins or paramagnetic rims matches areas of already identified lesions. Although central veins have gained large attention in white matter lesions as an additional diagnostic criterium, their presence and role in cortical lesions is less well understood. Paramagnetic rims of MS lesions have been identified as highly relevant predictors of active disease progression. Their prevalence in PPMS \[in %\] will be assessed and relationships to clinical, behavioural and MRI metrics will be explored in mixed effects models that account for other patients specific (age, gender, disease duration, EDSS) or lesion-specific variables (volume, lesion subtype)., Baseline|Quantitative assessment of myelin density in cortical lesions, perilesional gray and white matter, and normal appearing cortex using myelin water imaging, On a group level, the myelin water fraction \[in %\] will be compared between cortical lesion subtypes and the normal appearing cortex. Lesions and normal appearing cortex are expected to have lower myelin density than cortical gray matter in non-neurological individuals. The variance in myelin density among lesions is expected to be high as various degrees of demyelination and remyelination may be present. Remyelination capacity of cortical lesions may be higher than in white matter lesions and thus myelin differences between cortical lesions and normal appearing cortex may be small. Myelin water fraction values will be assessed relative to clinical and behavioural metrics in mixed effects models. The investigators hypothesize that lower myelin densities, in addition to the volume of cortical demyelination, will relate to lower/worse test scores., Baseline|Quantitative assessment of magnetization transfer in cortical lesions, perilesional gray and white matter, and normal appearing cortex, Similarly, magnetization transfer indices will be assessed between lesion subtypes, normal appearing cortex and compared to cortical gray matter in non-neurological individuals. Instead of assessing directly the relaxation times of different water environments, MT provides an indirect assessment of the interaction of mobile and bound protons. Here, the macromolecular bound pool signal fraction \[in %\] will be assessed relative to clinical and behavioural metrics in mixed effects models. The investigators hypothesize that smaller pool fractions, in addition to the volume of cortical demyelination, will relate to lower/worse test scores., Baseline|Quantitative assessment of fractional anisotropy in cortical lesions, perilesional gray and white matter, and normal appearing cortex using diffusion tensor imaging data, Fractional anisotropy (FA) is a commonly used diffusion metric for the assessment of tightly packed, myelinated axons in white matter. FA and other diffusion metrics will be compared between the cortical lesion subtypes and the normal appearing cortex. On average, lower microstructural anisotropy is expected in lesions as a reflection of demyelination and partial axonal loss. FA values will be assessed relative to clinical and behavioural metrics in mixed effects models. The investigators hypothesize that lower FA, in addition to the volume of cortical demyelination, will relate to lower/worse test scores., Baseline",Danish Research Centre for Magnetic Resonance,Scleroseforeningen|Danish Multiple Sclerosis Center,OBSERVATIONAL,
NCT01854359,Idebenone for Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT01854359,COMPLETED,"Background:

\- The Idebenone in Patients With Primary Progressive Multiple Sclerosis (IPPoMS) trial tested a new drug for multiple sclerosis. In the IPPoMS trial, participants took either idebenone or placebo. Researchers want to give idebenone to all participants for 1 year. It is still not certain whether idebenone can slow the progression of multiple sclerosis, but this study may help answer that question.

Objectives:

* To provide idebenone to all participants on the IPPoMS trial.
* To collect data on the safety and effectiveness of idebenone for primary progressive multiple sclerosis.

Eligibility:

\- Individuals at least 18 years of age who have completed 3 years in the IPPoMS trial.

Design:

* The first study visit for this trial will happen on the same day as the last visit for the IPPoMS trial.
* Participants will provide a blood samples and will have a lumbar puncture. They will also receive a new supply of idebenone to take three times a day with food. They will keep a diary to report on any side effects.
* After this first treatment visit, participants will have two follow-up visits to the NIH 6 months apart. These visits may be scheduled over multiple days. Participants will provide blood and urine samples. They will also have imaging studies of the brain and spine.
* Participants will have phone calls with the study researchers to provide updates on their condition and any side effects.",YES,Multiple Sclerosis|Primary Progressive Multiple Sclerosis,DRUG: Idebenone,"Area Under the Curve (AUC) of the Combinatorial Weight-Adjusted Disability Score (CombiWISE), CombiWISE is a composite scale derived from Expanded Disability Status Scale (EDSS) , Scripps Neurological Disability Scale (SNRS), times 25 foot walk (25FW), and non-dominant hand of 9 hole peg test (9HPT) with a minimum value of 0 (no disability) and maximum value of 100 (maximum disability).

The AUC values were calculated for both study groups (Active treatment group in the 09-I-0197 trial and Placebo group in the 09-I-0197) as follows:

1. pre-treatment baseline during the 09-I-0197 trial (from Months -12, -6, and 0)
2. double-blind phase during the 09-I-0197 trial (from Months 0, 6, 12, 18, and 24)
3. extension phase during the 13-I-0088 trial (from Months 24, 30, and 36)

Because the follow-up times varied from patient to patient, the AUC values were made comparable by scaling them by dividing the AUC value by the square of the actual duration (in years) of each of the phases., 1-year pre-treatment baseline vs 2-year randomized double-blind phased vs 1-year treatment period",National Institute of Allergy and Infectious Diseases (NIAID),,INTERVENTIONAL,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/59/NCT01854359/Prot_SAP_000.pdf"
NCT05349474,Metformin Treatment in Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT05349474,COMPLETED,The purpose of this study is to assess the safety of metformin for treatment of progressive multiple sclerosis,NO,Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis,"DRUG: Metformin 500 Mg Oral Tablet, up to 4 tablets a day|DRUG: Placebo oral tablet identical to metformin, up to 4 tablets a day","number of patients with adverse events between baseline and conclusion (month 0 and month 12), number of patients with adverse events comparing the two treatment groups, between month 0 and month 12|number of patients with laboratory abnormalities between baseline and conclusion (month 0 and month 12), number of patients with laboratory abnormalities comparing the two treatment groups, between month 0 and month 12|number of patients with new T2 lesions on MRI from baseline to conclusion (month 0 and month 12), number of patients with new T2 lesions comparing the two treatment groups, between month 0 and month 12","University of California, Los Angeles",,INTERVENTIONAL,
